date.y,CA_ratio,CA_19,CA_20,CA_21
15-Jul,-18%,98,80.05,null
16-Jul,-18%,97.97,80.78,null
17-Jul,-17%,97.88,81.51,null
18-Jul,-17%,97.99,81.6,null
19-Jul,-16%,97.85,81.82,null
20-Jul,-16%,97.49,82.05,null
21-Jul,-15%,97.19,82.55,null
22-Jul,-14%,97.08,83.17,null
23-Jul,-14%,97.09,83.78,null
24-Jul,-13%,96.42,84.03,null
25-Jul,-12%,96,84.53,null
26-Jul,-9%,93.22,84.86,null
27-Jul,-6%,91.07,85.39,null
28-Jul,-3%,88.72,85.7,null
29-Jul,-1%,86.58,85.56,null
30-Jul,-1%,86.2,85.42,null
31-Jul,-1%,86.01,85.3,null
01-Aug,-1%,86.23,84.94,null
02-Aug,-5%,88.93,84.56,null
03-Aug,-8%,91.47,83.89,null
04-Aug,-13%,93.9,81.98,null
05-Aug,-16%,96.16,80.5,null
06-Aug,-17%,95.16,79.15,null
07-Aug,-17%,94.52,78,null
08-Aug,-17%,93.66,77.45,null
09-Aug,-17%,92.73,76.83,null
10-Aug,-17%,92.03,76.36,null
11-Aug,-14%,91.35,78.36,null
12-Aug,-12%,90.76,80.12,null
13-Aug,-12%,93.11,81.78,null
14-Aug,-13%,95.69,83.7,null
15-Aug,-13%,97.52,84.94,null
16-Aug,-13%,99.14,86.59,null
17-Aug,-12%,100.19,88.2,null
18-Aug,-13%,101.54,88.58,null
19-Aug,-14%,103.77,89.1,null
20-Aug,-14%,104.46,89.88,null
21-Aug,-14%,105.21,90.26,null
22-Aug,-15%,106.6,90.99,null
23-Aug,-16%,108.12,91.35,null
24-Aug,-17%,110.02,91.71,null
25-Aug,-18%,111.7,92.09,null
26-Aug,-18%,112.47,92.26,null
27-Aug,-18%,112.04,91.95,null
28-Aug,-17%,111.14,91.82,null
29-Aug,-16%,109.63,91.72,null
30-Aug,-15%,107.94,91.7,null
31-Aug,-14%,106,91.69,null
01-Sep,-12%,104.01,91.79,null
02-Sep,-10%,101.98,92.14,null
03-Sep,-6%,99.09,92.88,null
04-Sep,-3%,96.59,93.57,null
05-Sep,-1%,94.87,94.25,null
06-Sep,1%,93.6,94.92,null
07-Sep,3%,92.71,95.55,null
08-Sep,2%,91.89,94.03,null
09-Sep,1%,91.07,92.18,null
10-Sep,-5%,94.49,90.11,null
11-Sep,-10%,98.13,88.08,null
12-Sep,-15%,101.54,86.34,null
13-Sep,-19%,104.58,84.69,null
14-Sep,-22%,107.14,83.16,null
15-Sep,-22%,109.47,85.89,null
16-Sep,-20%,111.76,89.2,null
17-Sep,-17%,111.35,92.47,null
18-Sep,-13%,110.35,95.57,null
19-Sep,-10%,108.97,98.13,null
20-Sep,-6%,107.46,100.62,null
21-Sep,-3%,105.72,102.95,null
22-Sep,-1%,104.34,102.78,null
23-Sep,-1%,103.03,102.14,null
24-Sep,-1%,102.29,101.57,null
25-Sep,0%,101.52,101.02,null
26-Sep,0%,100.67,100.72,null
27-Sep,0%,100.14,100.3,null
28-Sep,0%,100.2,99.95,null
29-Sep,0%,100.07,99.81,null
30-Sep,0%,99.91,99.67,null
01-Oct,0%,99.39,99.64,null
02-Oct,0%,99.41,99.66,null
03-Oct,0%,99.55,99.63,null
04-Oct,1%,99.39,99.93,null
05-Oct,1%,98.89,100.24,null
06-Oct,2%,98.52,100.57,null
07-Oct,3%,98.38,101.07,null
08-Oct,3%,98.65,101.7,null
09-Oct,4%,98.48,101.95,null
10-Oct,4%,98.47,101.99,null
11-Oct,3%,98.6,101.72,null
12-Oct,2%,98.87,101.32,null
13-Oct,0%,98.84,98.82,null
14-Oct,-2%,98.49,96.22,null
15-Oct,-2%,95.37,93.15,null
16-Oct,-2%,92.66,90.49,null
17-Oct,-2%,90.11,88.18,null
18-Oct,-2%,87.55,86.02,null
19-Oct,-1%,84.87,84.15,null
20-Oct,5%,82.61,86.76,null
21-Oct,11%,80.55,89.56,null
22-Oct,12%,82.77,92.47,null
23-Oct,12%,84.84,94.99,null
24-Oct,12%,86.72,97.25,null
25-Oct,12%,88.44,99.43,null
26-Oct,12%,90.34,101.31,null
27-Oct,9%,91.94,100.56,null
28-Oct,7%,93.37,99.46,null
29-Oct,6%,92.94,98.34,null
30-Oct,5%,92.54,97.42,null
31-Oct,5%,91.82,96.71,null
01-Nov,5%,91.1,95.89,null
02-Nov,5%,90.51,95.22,null
03-Nov,6%,89.91,95,null
04-Nov,6%,89.41,95.07,null
05-Nov,7%,89.32,95.4,null
06-Nov,8%,89.03,95.85,null
07-Nov,8%,89.29,96.31,null
08-Nov,8%,89.8,97.07,null
09-Nov,8%,90.17,97.7,null
10-Nov,8%,90.46,97.99,null
11-Nov,8%,90.6,98.1,null
12-Nov,8%,89.92,97.54,null
13-Nov,9%,89.11,96.87,null
14-Nov,9%,87.98,95.51,null
15-Nov,9%,86.65,94.27,null
16-Nov,10%,84.88,93.14,null
17-Nov,10%,83.48,91.93,null
18-Nov,10%,82.28,90.91,null
19-Nov,11%,82.35,91.19,null
20-Nov,11%,82.46,91.45,null
21-Nov,12%,82.54,92.16,null
22-Nov,12%,82.52,92.62,null
23-Nov,12%,82.92,93,null
24-Nov,13%,82.96,93.34,null
25-Nov,13%,82.86,93.51,null
26-Nov,13%,82.09,92.75,null
27-Nov,13%,81.46,91.84,null
28-Nov,12%,80.92,90.88,null
29-Nov,11%,80.69,89.73,null
30-Nov,10%,80.26,88.63,null
01-Dec,10%,79.78,87.79,null
02-Dec,10%,79.43,86.98,null
03-Dec,9%,79.2,86.71,null
04-Dec,9%,79.19,86.65,null
05-Dec,10%,79.06,86.96,null
06-Dec,11%,78.9,87.45,null
07-Dec,11%,79.24,87.94,null
08-Dec,11%,79.55,88.47,null
09-Dec,11%,79.64,88.79,null
10-Dec,12%,79.24,88.66,null
11-Dec,13%,78.53,88.35,null
12-Dec,12%,77.79,87.48,null
13-Dec,13%,76.84,86.83,null
14-Dec,14%,75.5,86.21,null
15-Dec,15%,74.13,85.5,null
16-Dec,17%,72.82,84.97,null
17-Dec,17%,71.95,84.22,null
18-Dec,18%,71.01,83.47,null
19-Dec,19%,70.06,83.11,null
20-Dec,19%,69.2,82.51,null
21-Dec,19%,68.63,81.84,null
22-Dec,19%,68.11,81.08,null
23-Dec,18%,67.68,80.1,null
24-Dec,18%,66.74,78.96,null
25-Dec,18%,64.99,76.58,null
26-Dec,17%,61.86,72.22,null
27-Dec,17%,57.64,67.55,null
28-Dec,20%,52.51,62.97,null
29-Dec,21%,47.33,57.47,null
30-Dec,22%,42.25,51.72,null
31-Dec,23%,37.61,46.11,null
