Week-WeekDay,Province,2017,2018,2019,2020
Week 1-2,Alberta,247051.0,245750.0,null,null
Week 1-3,Alberta,254852.0,245728.0,237805.0,null
Week 1-4,Alberta,250481.0,245649.0,241715.0,236173.0
Week 1-5,Alberta,248501.0,245653.0,242677.0,247424.0
Week 1-6,Alberta,252453.0,246495.0,245083.0,248467.0
Week 1-7,Alberta,248775.0,235824.0,241144.0,243298.0
Week 2-1,Alberta,247328.0,235339.0,238162.0,243531.0
Week 2-2,Alberta,254837.0,246642.0,252924.0,252003.0
Week 2-3,Alberta,256954.0,253662.0,256115.0,256605.0
Week 2-4,Alberta,253558.0,262068.0,253483.0,256876.0
Week 2-5,Alberta,250984.0,264073.0,249401.0,259192.0
Week 2-6,Alberta,245952.0,258564.0,246522.0,262333.0
Week 2-7,Alberta,233753.0,243625.0,236011.0,256623.0
Week 3-1,Alberta,227385.0,240620.0,238596.0,258782.0
Week 3-2,Alberta,237699.0,253068.0,247081.0,263326.0
Week 3-3,Alberta,233179.0,246974.0,250992.0,264891.0
Week 3-4,Alberta,233943.0,239592.0,255687.0,262393.0
Week 3-5,Alberta,236793.0,236830.0,257281.0,261880.0
Week 3-6,Alberta,236048.0,238230.0,256934.0,262487.0
Week 3-7,Alberta,236027.0,234736.0,250060.0,260115.0
Week 4-1,Alberta,239044.0,237072.0,243507.0,254374.0
Week 4-2,Alberta,247415.0,244042.0,248687.0,251635.0
Week 4-3,Alberta,244923.0,245632.0,248823.0,245617.0
Week 4-4,Alberta,242984.0,243426.0,252621.0,248347.0
Week 4-5,Alberta,239223.0,248468.0,252965.0,252508.0
Week 4-6,Alberta,236626.0,251731.0,246008.0,247889.0
Week 4-7,Alberta,227930.0,249041.0,235899.0,239249.0
Week 5-1,Alberta,225887.0,250528.0,237498.0,241636.0
Week 5-2,Alberta,237041.0,255240.0,251000.0,249496.0
Week 5-3,Alberta,243508.0,251593.0,254496.0,251085.0
Week 5-4,Alberta,244818.0,259737.0,250049.0,252170.0
Week 5-5,Alberta,245227.0,260021.0,249557.0,248532.0
Week 5-6,Alberta,246090.0,258022.0,256477.0,245454.0
Week 5-7,Alberta,240783.0,253514.0,256168.0,238834.0
Week 6-1,Alberta,240697.0,249698.0,254180.0,241902.0
Week 6-2,Alberta,252644.0,256797.0,256462.0,252178.0
Week 6-3,Alberta,253439.0,257684.0,260866.0,250755.0
Week 6-4,Alberta,252090.0,257525.0,259770.0,245480.0
Week 6-5,Alberta,248417.0,259020.0,260173.0,244055.0
Week 6-6,Alberta,243013.0,259606.0,262033.0,244628.0
Week 6-7,Alberta,232456.0,250056.0,259054.0,241948.0
Week 7-1,Alberta,228880.0,251699.0,259154.0,242019.0
Week 7-2,Alberta,233568.0,259226.0,262020.0,247131.0
Week 7-3,Alberta,231207.0,246445.0,262553.0,248209.0
Week 7-4,Alberta,229211.0,250412.0,260958.0,252690.0
Week 7-5,Alberta,229023.0,255028.0,261561.0,251149.0
Week 7-6,Alberta,229360.0,250108.0,261403.0,249440.0
Week 7-7,Alberta,226589.0,245914.0,252998.0,244233.0
Week 8-1,Alberta,222775.0,247696.0,250218.0,241116.0
Week 8-2,Alberta,226214.0,248303.0,253267.0,247916.0
Week 8-3,Alberta,235402.0,255146.0,251050.0,254329.0
Week 8-4,Alberta,238311.0,252598.0,251512.0,250988.0
Week 8-5,Alberta,240130.0,250097.0,255459.0,246683.0
Week 8-6,Alberta,242265.0,249853.0,249020.0,244373.0
Week 8-7,Alberta,236149.0,238802.0,249877.0,235287.0
Week 9-1,Alberta,236995.0,237892.0,251940.0,236823.0
Week 9-2,Alberta,243528.0,246972.0,260428.0,244917.0
Week 9-3,Alberta,242832.0,243858.0,259962.0,245055.0
Week 9-4,Alberta,241049.0,244021.0,253660.0,240394.0
Week 9-5,Alberta,238571.0,249263.0,250878.0,240163.0
Week 9-6,Alberta,234651.0,251343.0,255525.0,239837.0
Week 9-7,Alberta,234032.0,243153.0,253815.0,242149.0
Week 10-1,Alberta,234279.0,240628.0,250629.0,238541.0
Week 10-2,Alberta,242497.0,249611.0,253507.0,240989.0
Week 10-3,Alberta,244142.0,246089.0,253641.0,239505.0
Week 10-4,Alberta,244520.0,246925.0,254177.0,240215.0
Week 10-5,Alberta,247462.0,248918.0,252889.0,243071.0
Week 10-6,Alberta,248131.0,244918.0,249062.0,243714.0
Week 10-7,Alberta,241151.0,235815.0,241332.0,244308.0
Week 11-1,Alberta,226277.0,224979.0,228330.0,231871.0
Week 11-2,Alberta,240203.0,242684.0,241590.0,245639.0
Week 11-3,Alberta,232300.0,239975.0,240486.0,242071.0
Week 11-4,Alberta,227844.0,242846.0,239382.0,242091.0
Week 11-5,Alberta,230331.0,243868.0,240747.0,244394.0
Week 11-6,Alberta,226469.0,240667.0,239289.0,249934.0
Week 11-7,Alberta,217676.0,234594.0,232650.0,249918.0
Week 12-1,Alberta,220840.0,234030.0,230066.0,245366.0
Week 12-2,Alberta,232645.0,240470.0,235415.0,244627.0
Week 12-3,Alberta,230616.0,237564.0,231076.0,242658.0
Week 12-4,Alberta,226971.0,239484.0,227880.0,243292.0
Week 12-5,Alberta,227443.0,243393.0,231659.0,244371.0
Week 12-6,Alberta,224571.0,237184.0,232398.0,243535.0
Week 12-7,Alberta,215770.0,228162.0,227885.0,233890.0
Week 13-1,Alberta,212875.0,230287.0,228667.0,226011.0
Week 13-2,Alberta,221372.0,235193.0,233509.0,235891.0
Week 13-3,Alberta,223237.0,237452.0,230678.0,238040.0
Week 13-4,Alberta,221934.0,235316.0,232226.0,237696.0
Week 13-5,Alberta,223320.0,237573.0,230380.0,234265.0
Week 13-6,Alberta,220387.0,235227.0,228611.0,232150.0
Week 13-7,Alberta,212313.0,234437.0,221560.0,229985.0
Week 14-1,Alberta,209614.0,230570.0,220611.0,229009.0
Week 14-2,Alberta,218329.0,235879.0,225052.0,239062.0
Week 14-3,Alberta,218386.0,235846.0,225752.0,null
Week 14-4,Alberta,216795.0,237763.0,227216.0,null
Week 14-5,Alberta,215811.0,236975.0,228265.0,null
Week 14-6,Alberta,215446.0,236655.0,228752.0,null
Week 14-7,Alberta,210571.0,229540.0,223926.0,null
Week 15-1,Alberta,210833.0,223363.0,220408.0,null
Week 15-2,Alberta,216407.0,227637.0,226714.0,null
Week 15-3,Alberta,215825.0,225763.0,224666.0,null
Week 15-4,Alberta,215731.0,227864.0,226020.0,null
Week 15-5,Alberta,216450.0,229508.0,226310.0,null
Week 15-6,Alberta,207365.0,223628.0,224876.0,null
Week 15-7,Alberta,205748.0,214002.0,219756.0,null
Week 16-1,Alberta,204249.0,215722.0,221105.0,null
Week 16-2,Alberta,213148.0,228797.0,226971.0,null
Week 16-3,Alberta,215587.0,223653.0,226284.0,null
Week 16-4,Alberta,212415.0,219472.0,223849.0,null
Week 16-5,Alberta,213520.0,220826.0,223765.0,null
Week 16-6,Alberta,214683.0,218142.0,216418.0,null
Week 16-7,Alberta,208259.0,213963.0,217022.0,null
Week 17-1,Alberta,208208.0,212933.0,215254.0,null
Week 17-2,Alberta,214994.0,219825.0,222417.0,null
