region,week,2017,2018,2019,2020,2021
East,Week 44 (Nov-02),114.7,95.38,125.31,99.4,null
East,Week 45 (Nov-09),112.64,98.99,127.26,98.7,null
East,Week 46 (Nov-16),112.65,100.17,123.8,98.72,null
East,Week 47 (Nov-23),115.38,95.74,124.57,99.87,null
East,Week 48 (Nov-30),116.18,97.1,123.82,98.72,null
East,Week 49 (Dec-07),117.43,96.33,125.35,95.75,null
East,Week 50 (Dec-14),124.03,99,123.17,96.37,null
East,Week 51 (Dec-21),124.56,106.49,123.05,99.49,null
East,Week 52 (Dec-28),124.8,105.96,125.18,98.02,null
West,Week 1 (Jan-5),75.17,96.48,98.33,99.4,90.45
West,Week 2 (Jan-12),77.23,99.49,95.03,101.23,86.86
West,Week 3 (Jan-19),94.6,105.59,97.48,92.76,90.08
West,Week 4 (Jan-26),97.8,103.89,91.79,88.07,90.7
West,Week 5 (Feb-02),83.05,102.95,91.28,89.51,91.32
West,Week 6 (Feb-09),78.06,98.37,95.98,88.97,89.1
West,Week 7 (Feb-16),81.27,94.02,94.39,90.8,90.63
West,Week 8 (Feb-23),77.19,94.8,97.11,89,90.48
West,Week 9 (Mar-02),82.47,92.75,97.45,91.51,null
West,Week 10 (Mar-09),82.67,89.63,97.84,93.02,null
West,Week 11 (Mar-16),78.4,90.04,98.88,93.25,null
West,Week 12 (Mar-23),76.59,89.68,97.88,90.08,null
West,Week 13 (Mar-30),72.48,86.39,98.22,78.18,null
West,Week 14 (Apr-06),69.71,80.98,94.47,69.2,null
West,Week 15 (Apr-13),67.3,55.46,86.82,65.51,null
West,Week 16 (Apr-20),60.12,47.6,80.45,70.04,null
West,Week 17 (Apr-27),57.68,49.77,81.41,75.79,null
West,Week 18 (May-4),51.44,53.56,81.85,87.58,null
West,Week 19 (May-11),48.74,60.98,81.63,77.89,null
West,Week 20 (May-18),63.09,70.83,84.42,75.56,null
West,Week 21 (May-25),70.73,68.81,89.29,74.94,null
West,Week 22 (June 1),67.1,71.51,92.46,68.1,null
West,Week 23 (June 8),71.28,78.95,99.85,71.22,null
West,Week 24 (June 15),75.91,78.02,100.46,80.22,null
West,Week 25 (June 22),78.8,76.15,96.81,72.16,null
West,Week 26 (June 29),93.64,79.14,94.47,82.79,null
West,Week 27 (July 6),95.26,86.84,97.97,83.71,null
West,Week 28 (July 13),99.47,95.54,96.79,79.8,null
West,Week 29 (July 20),91.71,97.51,100.21,77.73,null
West,Week 30 (July 27),94.46,95.71,100.49,78.31,null
West,Week 31 (Aug-03),99.79,93.1,101.38,79.91,null
West,Week 32 (Aug-10),98.63,98.68,102.49,81.81,null
West,Week 33 (Aug-17),101.77,94.79,101.69,80.57,null
West,Week 34 (Aug-24),103.55,88.12,100.38,81.49,null
West,Week 35 (Aug-31),102.96,97.63,101.74,88.91,null
West,Week 36 (Sep-07),102.1,101.98,99.45,89.4,null
West,Week 37 (Sep-14),100.49,99.67,98.33,92.92,null
West,Week 38 (Sep-21),101.25,99.39,99.27,101.34,null
West,Week 39 (Sep-28),99.48,98.19,98.98,98.49,null
West,Week 40 (Oct-05),102.31,99.35,95.52,97.7,null
West,Week 41 (Oct-12),100.9,100.14,96.83,96.21,null
West,Week 42 (Oct-19),98.9,100.18,94.25,94.93,null
West,Week 43 (Oct-26),96.27,101.85,94.6,99.15,null
West,Week 44 (Nov-02),98.99,102.3,93.21,99.78,null
West,Week 45 (Nov-09),99.39,101.63,93.4,97.63,null
West,Week 46 (Nov-16),100.23,100.51,96.86,96.83,null
West,Week 47 (Nov-23),100.35,100.63,94.03,94.24,null
West,Week 48 (Nov-30),98.7,96.35,102.11,91.91,null
West,Week 49 (Dec-07),93.1,97.58,100.85,88.41,null
West,Week 50 (Dec-14),94.7,90.19,98.89,91.27,null
West,Week 51 (Dec-21),94.49,96.46,97.12,92.89,null
West,Week 52 (Dec-28),99.06,97.83,96.78,89.42,null
