Day,Province,Year,Demand
9-2,Ontario,2018,"368,080"
9-3,Ontario,2018,"360,206"
9-4,Ontario,2018,"359,998"
9-5,Ontario,2018,"369,449"
9-6,Ontario,2018,"376,763"
9-7,Ontario,2018,"353,566"
10-1,Ontario,2018,"345,307"
10-2,Ontario,2018,"382,675"
10-3,Ontario,2018,"389,639"
10-4,Ontario,2018,"389,144"
10-5,Ontario,2018,"388,933"
10-6,Ontario,2018,"379,859"
10-7,Ontario,2018,"360,217"
11-1,Ontario,2018,"352,322"
11-2,Ontario,2018,"387,424"
11-3,Ontario,2018,"385,395"
11-4,Ontario,2018,"383,291"
11-5,Ontario,2018,"378,709"
11-6,Ontario,2018,"375,676"
11-7,Ontario,2018,"351,901"
12-1,Ontario,2018,"345,962"
12-2,Ontario,2018,"375,409"
12-3,Ontario,2018,"375,677"
12-4,Ontario,2018,"375,809"
12-5,Ontario,2018,"372,427"
12-6,Ontario,2018,"369,151"
12-7,Ontario,2018,"348,395"
13-1,Ontario,2018,"341,559"
13-2,Ontario,2018,"354,017"
13-3,Ontario,2018,"374,106"
13-4,Ontario,2018,"367,180"
13-5,Ontario,2018,"368,423"
13-6,Ontario,2018,"327,052"
13-7,Ontario,2018,"326,983"
14-1,Ontario,2018,"329,361"
14-2,Ontario,2018,"357,154"
14-3,Ontario,2018,"377,540"
14-4,Ontario,2018,"378,034"
14-5,Ontario,2018,"376,308"
14-6,Ontario,2018,"376,817"
14-7,Ontario,2018,"353,577"
1-1,Ontario,2019,
1-2,Ontario,2019,
1-3,Ontario,2019,"347,667"
1-4,Ontario,2019,"406,882"
1-5,Ontario,2019,"399,512"
1-6,Ontario,2019,"375,545"
1-7,Ontario,2019,"360,271"
2-1,Ontario,2019,"358,609"
2-2,Ontario,2019,"409,902"
2-3,Ontario,2019,"389,402"
2-4,Ontario,2019,"391,661"
2-5,Ontario,2019,"411,857"
2-6,Ontario,2019,"427,194"
2-7,Ontario,2019,"398,965"
